year_of_death,month_of_death,count
2017,Jan,9
2017,Feb,11
2017,Mar,7
2017,Apr,8
2017,May,7
2017,Jun,8
2017,Jul,13
2017,Aug,6
2017,Sep,11
2017,Oct,6
2017,Nov,8
2017,Dec,7
2018,Jan,9
2018,Feb,11
2018,Mar,4
2018,Apr,6
2018,May,9
2018,Jun,9
2018,Jul,9
2018,Aug,14
2018,Sep,8
2018,Oct,8
2018,Nov,6
2018,Dec,1
2019,Jan,15
2019,Feb,8
2019,Mar,7
2019,Apr,14
2019,May,10
2019,Jun,7
2019,Jul,15
2019,Aug,9
2019,Sep,5
2019,Oct,14
2019,Nov,12
2019,Dec,11
2020,Jan,11
2020,Feb,11
2020,Mar,7
2020,Apr,10
2020,May,16
2020,Jun,9
2020,Jul,15
2020,Aug,13
2020,Sep,8
2020,Oct,10
2020,Nov,15
2020,Dec,20
2021,Jan,20
2021,Feb,15
2021,Mar,15
2021,Apr,11
2021,May,23
2021,Jun,13
2021,Jul,16
2021,Aug,24
2021,Sep,18
2021,Oct,24
2021,Nov,26
2021,Dec,14
2022,Jan,24
2022,Feb,11
2022,Mar,11
2022,Apr,15
2022,May,23
2022,Jun,12
2022,Jul,19
2022,Aug,13
2022,Sep,14
2022,Oct,10
2022,Nov,18
2022,Dec,19
2023,Jan,18
2023,Feb,13
2023,Mar,13
2023,Apr,8
2023,May,14
2023,Jun,13
